time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,pitch_sum,raw_divergence,color_count,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,ekf_X1,ekf_X2,ekf_X3,ekf_X4,ekf_X5,ekf_X6,ekf_X7,ekf_X8,ekf_X9,ekf_X10,ekf_X11,ekf_X12,ekf_X13,ekf_X14,ekf_X15,ekf_U1,ekf_U2,ekf_U3,ekf_U4,ekf_U5,ekf_U6,ekf_Z1,ekf_Z2,ekf_Z3,ekf_Z4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,pos_z_inverted
0 days 00:01:18.134583,-6.374283090909091,-3.1864781515151517,0.19671303030303022,0.09720772727272727,0.027722151515151512,0.17245118181818184,0.20527230303030294,-0.04300742424242425,-0.28261009090909095,0.017741575757575758,-0.04071957575757576,0.09876248484848485,0.305428,15.0,-73.0,0.361288,0.198655,0.327516,-2.935091,0.361288,285.6363636363636,7883.121212121212,7588.484848484848,7784.878787878788,7550.636363636364,7927.484848484848,7617.848484848485,7790.606060606061,7442.212121212121,-2.374283090909091,-2.1864781515151517,-0.5032869696969697,0.09720772727272727,0.027722151515151512,0.17245118181818184,0.017741575757575758,-0.04071957575757576,0.09876248484848485,0.14298551515151514,0.08179818181818181,0.3765425454545454,0.036396727272727275,-0.01633339393939394,0.01025,0.01512184848484851,-0.09762654545454544,-9.71860209090909,0.049020484848484855,0.03591084848484848,0.018236575757575757,-2.3515638484848487,-2.1822337575757573,-0.5077149393939394,0.03877412121212121,6628.757575757576,-19.333333333333332,156.0909090909091,-464.5151515151515,-0.19671303030303022
0 days 00:01:18.199583,-6.359273212121212,-3.182725696969697,0.20825415151515142,0.13280936363636364,0.04148787878787879,0.17251739393939394,0.21285039393939398,0.10011024242424241,0.12058269696969703,0.017789545454545454,-0.03639987878787879,0.09898687878787879,0.305428,15.0,-73.0,0.361288,0.198655,0.327516,-2.935091,0.361288,292.0,7891.181818181818,7643.515151515152,7781.393939393939,7484.484848484848,7904.454545454545,7585.727272727273,7799.909090909091,7501.666666666667,-2.359273212121212,-2.182725696969697,-0.49174584848484854,0.13280936363636364,0.04148787878787879,0.17251739393939394,0.017789545454545454,-0.03639987878787879,0.09898687878787879,0.142328,0.081907,0.376546,0.036395,-0.016319,0.01025,0.10703721212121209,0.06457163636363636,-9.316702242424242,-0.011703969696969695,0.10535030303030303,0.02832769696969697,-2.337429,-2.178675,-0.4998,0.030929999999999996,6633.606060606061,10.242424242424242,94.15151515151516,-435.3636363636364,-0.20825415151515142
0 days 00:01:18.264583,-6.337846272727273,-3.177233606060606,0.2188686363636363,0.17426463636363637,0.050671212121212124,0.16448478787878787,-0.10349548484848488,0.013028848484848497,0.1879255151515152,0.016083727272727274,-0.030884727272727272,0.09915572727272727,0.305428,13.848484848484848,-73.0,0.361288,0.198655,0.327516,-2.935091,0.361288,289.6969696969697,7925.636363636364,7620.363636363636,7780.636363636364,7464.272727272727,7933.363636363636,7631.606060606061,7746.636363636364,7479.333333333333,-2.3378462727272726,-2.177233606060606,-0.48113136363636366,0.17426463636363637,0.050671212121212124,0.16448478787878787,0.016083727272727274,-0.030884727272727272,0.09915572727272727,0.14156169696969695,0.08218733333333333,0.3765706060606061,0.03639236363636363,-0.016297030303030303,0.01025,-0.13745860606060606,0.021928303030303044,-9.242601818181818,-0.009173818181818184,0.08560463636363635,0.0163869696969697,-2.3139407575757573,-2.172532272727273,-0.48852954545454547,0.029196151515151515,6633.30303030303,17.242424242424242,169.21212121212122,-401.6969696969697,-0.2188686363636363
0 days 00:01:18.329583,-6.321149147058824,-3.172620882352941,0.22887958823529403,0.18615955882352941,0.05485538235294118,0.1561871176470588,-0.012745470588235282,-0.13322902941176473,-0.2732000294117647,0.01545885294117647,-0.022960088235294118,0.09964741176470587,0.305428,12.617647058823529,-73.0,0.361288,0.198655,0.327516,-2.935091,0.361288,286.8529411764706,7885.588235294118,7598.970588235294,7832.529411764706,7451.764705882353,7928.588235294118,7599.35294117647,7830.882352941177,7431.764705882353,-2.3211491470588235,-2.172620882352941,-0.4711204117647059,0.18615955882352941,0.05485538235294118,0.1561871176470588,0.01545885294117647,-0.022960088235294118,0.09964741176470587,0.14130299999999998,0.0823350588235294,0.3765872352941177,0.036391205882352944,-0.016287647058823528,0.01025,0.006893411764705893,-0.13720691176470587,-9.705078147058824,0.022547147058823526,0.09214876470588236,0.009421029411764707,-2.302585382352941,-2.169197823529412,-0.4840658823529412,0.025705882352941176,6633.205882352941,-34.85294117647059,132.35294117647058,-514.3235294117648,-0.22887958823529403
0 days 00:01:18.394583,-6.299057545454545,-3.1665447272727274,0.2379387272727272,0.19697090909090909,0.05871609090909091,0.1564647878787879,-0.05600606060606056,-0.06468863636363638,-0.25896900000000006,0.013175727272727273,-0.01685987878787879,0.09938466666666668,0.305428,12.0,-73.0,0.361288,0.198655,0.327516,-2.935091,0.361288,285.0,7927.30303030303,7545.333333333333,7832.757575757576,7480.363636363636,7915.272727272727,7545.727272727273,7839.333333333333,7505.575757575758,-2.2990575454545454,-2.1665447272727274,-0.46206127272727276,0.19697090909090909,0.05871609090909091,0.1564647878787879,0.013175727272727273,-0.01685987878787879,0.09938466666666668,0.140878,0.082638,0.376624,0.036389,-0.01627,0.01025,0.0508404242424243,-0.03619199999999999,-9.693033787878788,0.014263696969696971,0.0996241212121212,0.003662151515151515,-2.280042,-2.162289,-0.475985,0.016675,6638.575757575758,17.90909090909091,57.78787878787879,-496.3333333333333,-0.2379387272727272
0 days 00:01:18.459583,-6.278177575757576,-3.1605736363636363,0.2453804848484848,0.21649478787878787,0.06327569696969697,0.11571639393939394,-0.2893614242424242,-0.11502769696969697,-0.5532629393939394,0.013773333333333332,-0.01198960606060606,0.09900548484848484,0.305428,10.242424242424242,-72.12121212121212,0.361288,0.198655,0.327516,-2.935091,0.361288,299.06060606060606,7904.818181818182,7542.0,7874.757575757576,7436.151515151515,7948.69696969697,7557.393939393939,7816.939393939394,7420.575757575758,-2.2781775757575757,-2.1605736363636363,-0.45461951515151516,0.21649478787878787,0.06327569696969697,0.11571639393939394,0.013773333333333332,-0.01198960606060606,0.09900548484848484,0.14082709090909093,0.08298481818181819,0.37666409090909087,0.03638645454545454,-0.016254727272727275,0.010250636363636363,-0.1529060303030303,-0.06229284848484849,-9.98561793939394,0.01652024242424242,0.038514939393939386,-0.005023424242424242,-2.2598552727272727,-2.156155727272727,-0.4690524545454545,0.016095272727272725,6616.515151515152,-2.515151515151515,133.96969696969697,-556.0,-0.2453804848484848
0 days 00:01:18.524583,-6.25855203030303,-3.155138484848485,0.2510834242424242,0.23309530303030304,0.0616120303030303,0.09978678787878788,0.09567069696969698,-0.14380966666666667,-0.10741751515151512,0.013963909090909091,-0.0077814242424242425,0.09851021212121212,0.305428,9.272727272727273,-72.36363636363636,0.361288,0.198655,0.327516,-2.935091,0.361288,299.1818181818182,7904.787878787879,7591.242424242424,7771.636363636364,7432.757575757576,7835.30303030303,7600.424242424242,7823.69696969697,7460.333333333333,-2.25855203030303,-2.155138484848485,-0.44891657575757576,0.23309530303030304,0.0616120303030303,0.09978678787878788,0.013963909090909091,-0.0077814242424242425,0.09851021212121212,0.14080939393939396,0.08321124242424244,0.3766908181818182,0.03638475757575757,-0.01624478787878788,0.010251121212121211,0.2631687272727273,-0.11529360606060607,-9.542258545454546,0.08536784848484849,0.12155981818181817,0.008670727272727273,-2.2465161212121214,-2.152045848484849,-0.4646629393939394,0.014907818181818182,6608.121212121212,-64.15151515151516,75.66666666666667,-422.3333333333333,-0.2510834242424242
0 days 00:01:18.589583,-6.233020441176471,-3.1477277352941178,0.2544377647058823,0.2434323235294118,0.07027461764705882,0.077013,-0.33831767647058825,-0.06860488235294117,-0.23105752941176472,0.013406294117647058,-0.0008347058823529412,0.09925735294117648,0.305428,8.176470588235293,-72.82352941176471,0.361288,0.198655,0.327516,-2.935091,0.361288,296.0,7879.0,7529.882352941177,7787.5,7484.970588235294,7906.264705882353,7540.35294117647,7812.705882352941,7428.35294117647,-2.2330204411764707,-2.1477277352941178,-0.44556223529411765,0.2434323235294118,0.07027461764705882,0.077013,0.013406294117647058,-0.0008347058823529412,0.09925735294117648,0.140986,0.083649,0.37675,0.036381,-0.016226,0.010253,-0.09389367647058823,0.003963617647058839,-9.666589970588236,0.03975894117647059,0.08152147058823529,0.012422441176470587,-2.218556,-2.142666,-0.458028,0.001637,6596.794117647059,-9.235294117647058,102.5,-529.5882352941177,-0.2544377647058823
0 days 00:01:18.654583,-6.213723212121212,-3.1415143333333333,0.25864206060606054,0.2145011212121212,0.07537927272727273,0.09750460606060607,-0.776444787878788,0.0590650909090909,0.5043022121212122,0.01301469696969697,0.00497330303030303,0.09844872727272727,0.305428,9.0,-72.0,0.361288,0.198655,0.327516,-2.935091,0.361288,296.0,7856.454545454545,7519.333333333333,7847.757575757576,7502.969696969697,7823.363636363636,7485.727272727273,7875.30303030303,7548.727272727273,-2.213723212121212,-2.1415143333333333,-0.4413579393939394,0.2145011212121212,0.07537927272727273,0.09750460606060607,0.01301469696969697,0.00497330303030303,0.09844872727272727,0.14120281818181818,0.08383945454545455,0.37677681818181813,0.03637872727272727,-0.01621781818181818,0.010254363636363636,-0.47463909090909084,0.16258290909090914,-8.940962272727273,0.002382303030303031,0.09981648484848483,0.005763181818181818,-2.2042387272727275,-2.137794181818182,-0.4551039090909091,-0.0027984545454545454,6612.878787878788,5.636363636363637,-57.36363636363637,-468.75757575757575,-0.25864206060606054
0 days 00:01:18.719583,-6.195244454545454,-3.134446545454545,0.2637385151515151,0.20823860606060607,0.0806379090909091,0.09413927272727274,-0.025891939393939394,-0.32965069696969695,-0.2432965757575758,0.011209969696969697,0.005476878787878788,0.09805042424242424,0.305428,7.0,-72.66666666666667,0.361288,0.198655,0.327516,-2.935091,0.361288,294.0,7873.484848484848,7570.272727272727,7799.30303030303,7486.181818181818,7934.606060606061,7588.212121212121,7724.121212121212,7489.030303030303,-2.1952444545454544,-2.134446545454545,-0.43626148484848487,0.20823860606060607,0.0806379090909091,0.09413927272727274,0.011209969696969697,0.005476878787878788,0.09805042424242424,0.141463,0.084068,0.376809,0.036376,-0.016208,0.010256,0.255445,-0.25917381818181817,-9.679036454545455,-0.047962575757575766,-0.07739263636363636,0.016608848484848487,-2.187058,-2.131948,-0.451595,-0.008121,6613.848484848485,55.57575757575758,154.4848484848485,-410.3636363636364,-0.2637385151515151
