time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,dt,raw_divergence,color_count,mu_x,p_output,i_output,mu_y, mu_z,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,ekf_X1,ekf_X2,ekf_X3,ekf_X4,ekf_X5,ekf_X6,ekf_X7,ekf_X8,ekf_X9,ekf_X10,ekf_X11,ekf_X12,ekf_X13,ekf_X14,ekf_X15,ekf_U1,ekf_U2,ekf_U3,ekf_U4,ekf_U5,ekf_U6,ekf_Z1,ekf_Z2,ekf_Z3,ekf_Z4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
0 days 00:00:23.863095,-5.949549090909091,-1.6104082121212122,-0.2641053636363637,0.30051900000000004,0.3380734848484849,0.2115988484848485,1.7993095757575757,2.5676817272727273,-1.679495606060606,0.2593458484848485,-0.1838259090909091,-0.09459072727272728,10.0,2.1515151515151514,-87.0909090909091,0.095159,0.02313630303030303,0.0,0.00257130303030303,0.5563366666666667,436.6666666666667,-1.5,0.0,0.0,2.334238393939394,11.294300939393938,8804.484848484848,8161.454545454545,8791.121212121212,7600.121212121212,8732.060606060606,7941.909090909091,8868.333333333334,7952.393939393939,-2.0495490909090908,-2.110408212121212,-0.9641053636363637,0.30051900000000004,0.3380734848484849,0.2115988484848485,0.2593458484848485,-0.1838259090909091,-0.09459072727272728,0.013137,0.174437,0.219653,-0.002554,-0.018653,0.00214,-0.5516394545454545,0.16403290909090912,-11.69637787878788,-0.7057069696969698,1.3231830303030303,-0.21423718181818183,-2.063065,-2.123235,-0.967007,0.310887,7592.787878787879,-62.75757575757576,-73.24242424242425,-1214.939393939394
0 days 00:00:23.928095,-5.92807405882353,-1.5830670294117648,-0.25310705882352935,0.3751380588235294,0.5064731176470588,0.05930067647058824,0.8897271176470588,1.8234665588235295,-3.669718794117647,0.18215150000000002,-0.11843761764705883,-0.09258314705882353,10.0,51.0,-73.0,0.038583,0.054826,0.0,0.0,-0.30761,416.0,-1.5,0.0,0.0,-1.526645,13.484123,9006.0,8903.558823529413,9523.323529411764,8660.058823529413,9168.264705882353,9263.058823529413,9653.735294117647,8947.941176470587,-2.0280740588235298,-2.083067029411765,-0.9531070588235293,0.3751380588235294,0.5064731176470588,0.05930067647058824,0.18215150000000002,-0.11843761764705883,-0.09258314705882353,0.00786970588235294,0.1739095294117647,0.21974564705882352,-0.002549676470588235,-0.018662264705882354,0.0021523529411764703,-0.824620794117647,-0.018612088235294116,-13.398437382352942,-1.8037395294117646,0.503669294117647,-0.13558426470588236,-2.0455855882352942,-2.1019348235294117,-0.9533693529411764,0.2330270294117647,8898.0,-399.55882352941177,-84.88235294117646,-554.5294117647059
0 days 00:00:23.993095,-5.9028062424242425,-1.5471871212121213,-0.2567086666666667,0.4107877575757576,0.579947696969697,-0.20253566666666667,0.02456951515151507,-0.3496769393939394,-2.726533121212121,0.022829333333333333,-0.10513339393939394,-0.09631012121212121,10.0,42.21212121212121,-72.12121212121212,0.009467242424242425,0.06250733333333333,0.0,0.0025712424242424242,-0.2192411515151515,403.6969696969697,-1.5,0.0,0.0,0.5605131818181819,10.299427606060606,8869.69696969697,8384.939393939394,8587.545454545454,8741.030303030304,8395.09090909091,7060.575757575758,7323.909090909091,8530.969696969696,-2.0028062424242425,-2.0471871212121213,-0.9567086666666667,0.4107877575757576,0.579947696969697,-0.20253566666666667,0.022829333333333333,-0.10513339393939394,-0.09631012121212121,0.004327666666666666,0.1739352424242424,0.21979427272727273,-0.002545909090909091,-0.018668242424242424,0.002161818181818182,-1.1815815151515152,-0.2485499696969697,-12.270389424242424,-2.566598515151515,-0.060731818181818185,-0.06795984848484848,-2.029750090909091,-2.082493121212121,-0.9459942727272727,0.16879575757575754,6816.666666666667,1268.7575757575758,-199.21212121212122,-90.03030303030303
0 days 00:00:24.058095,-5.87602303030303,-1.5123006969696968,-0.27062912121212124,0.4322533636363637,0.5316963030303031,-0.2514576060606061,0.31722839393939395,-1.123540515151515,0.5663896969696969,-0.06629224242424243,-0.12584654545454546,-0.10153918181818182,10.0,29.0,-74.66666666666667,0.00396,0.06697490909090908,0.0,0.002057,-0.07398581818181818,402.0,-1.2447497575757576,0.0,0.0,1.64638,9.147452545454545,8166.515151515152,6701.090909090909,6560.787878787879,8429.969696969696,8062.515151515152,6908.30303030303,6142.151515151515,8241.151515151516,-1.9760230303030302,-2.012300696969697,-0.9706291212121212,0.4322533636363637,0.5316963030303031,-0.2514576060606061,-0.06629224242424243,-0.12584654545454546,-0.10153918181818182,0.002288,0.176489,0.219731,-0.002538,-0.01867,0.002175,-0.651189606060606,-0.05980703030303031,-9.070697090909091,0.37458569696969696,-0.628188606060606,-0.15937948484848485,-1.993392,-2.037138,-0.953732,0.052562,6126.151515151515,1623.969696969697,293.3333333333333,666.9090909090909
0 days 00:00:24.123095,-5.846110588235295,-1.4794838235294117,-0.2842910294117649,0.4768587647058823,0.5041133235294117,-0.1846080588235294,1.114161911764706,0.07694682352941178,0.8812041470588234,0.07663464705882353,-0.15625723529411764,-0.10727552941176471,10.0,14.529411764705882,-77.88235294117646,0.01626929411764706,0.07235635294117648,0.0,0.0024956176470588235,0.08823882352941176,408.5882352941176,-0.8573101764705883,0.0,0.0,2.0023802941176467,8.851723676470588,7239.5,7617.735294117647,5862.911764705882,7544.117647058823,7061.323529411765,8003.794117647059,6321.705882352941,7442.176470588235,-1.9461105882352943,-1.9794838235294117,-0.9842910294117648,0.4768587647058823,0.5041133235294117,-0.1846080588235294,0.07663464705882353,-0.15625723529411764,-0.10727552941176471,-0.00023899999999999987,0.17727247058823528,0.21975391176470588,-0.0025335294117647057,-0.018667205882352943,0.0021878529411764706,-0.24399708823529415,-0.11233341176470589,-8.787339205882354,3.1677389705882355,-0.0804874705882353,-0.010792470588235294,-1.9666439117647059,-2.007700294117647,-0.9671923823529411,0.091474,5940.794117647059,88.82352941176471,649.5882352941177,1456.2058823529412
0 days 00:00:24.188095,-5.812546848484848,-1.4453897878787878,-0.29298242424242427,0.5371267575757576,0.5745663030303031,-0.09589557575757575,0.435934393939394,1.6161992424242424,1.6622691212121212,0.2563639696969697,-0.1320371818181818,-0.09803684848484848,10.0,8.272727272727273,-79.72727272727273,0.032084,0.076932,0.0,-0.027731757575757576,0.200008,421.1818181818182,-0.8030272727272727,0.0,0.0,1.9334856363636364,8.928407909090907,6501.727272727273,7962.848484848485,6884.393939393939,7061.30303030303,6626.333333333333,7947.727272727273,7270.575757575758,7085.060606060606,-1.9125468484848485,-1.9453897878787878,-0.9929824242424242,0.5371267575757576,0.5745663030303031,-0.09589557575757575,0.2563639696969697,-0.1320371818181818,-0.09803684848484848,-0.002234,0.177891,0.219772,-0.00253,-0.018665,0.002198,-0.763346303030303,-0.1082801212121212,-8.06125715151515,1.8520878484848484,0.649591696969697,0.09576227272727272,-1.9455270000000002,-1.98446,-0.9778189999999999,0.12219400000000001,5976.393939393939,-752.2424242424242,108.93939393939394,801.7575757575758
0 days 00:00:24.253095,-5.775597242424242,-1.405193606060606,-0.29576803030303045,0.5863670606060606,0.707956,-0.008493333333333332,0.5238707575757576,2.0176930606060606,0.9735160303030304,0.29010521212121215,-0.092659,-0.0818020303030303,10.0,21.727272727272727,-76.81818181818181,0.028825333333333335,0.083523,0.0,0.002057030303030303,0.11631766666666665,433.90909090909093,-0.7528578787878788,0.0,0.0,1.140814,10.030021666666666,6855.545454545455,7580.636363636364,7648.515151515152,7074.30303030303,7357.424242424242,7919.181818181818,8129.424242424242,7416.878787878788,-1.8755972424242424,-1.905193606060606,-0.9957680303030304,0.5863670606060606,0.707956,-0.008493333333333332,0.29010521212121215,-0.092659,-0.0818020303030303,-0.011035060606060606,0.17478624242424243,0.22006287878787878,-0.002522090909090909,-0.018662363636363637,0.002241060606060606,-0.444276696969697,-0.180013,-8.848662303030302,-0.594926303030303,0.4790038787878788,0.05277857575757575,-1.893998393939394,-1.9310868181818182,-0.9916678181818182,0.19903257575757577,6644.606060606061,-636.060606060606,-134.5151515151515,-106.60606060606061
0 days 00:00:24.318095,-5.735819393939394,-1.3550087272727274,-0.2971627272727274,0.6164832424242425,0.8512464848484849,-0.08201609090909091,0.2501126666666667,1.4792072121212123,-2.9944752424242425,0.1833168181818182,-0.07599366666666667,-0.07624245454545454,10.0,30.0,-73.0,0.022308,0.096705,0.0,0.0,-0.051063,432.0,-0.7059038484848486,0.0,0.0,-0.421802,12.051431,8558.272727272728,8523.939393939394,8836.818181818182,8172.363636363636,8766.09090909091,8441.212121212122,8756.787878787878,8337.181818181818,-1.8358193939393939,-1.8550087272727274,-0.9971627272727274,0.6164832424242425,0.8512464848484849,-0.08201609090909091,0.1833168181818182,-0.07599366666666667,-0.07624245454545454,-0.014720212121212122,0.17387563636363637,0.22019633333333333,-0.002521848484848485,-0.018657757575757574,0.0022677878787878787,-0.7972301818181818,-0.38955957575757577,-12.655332575757575,-2.544130212121212,0.10361921212121211,-0.0038248484848484848,-1.861297303030303,-1.892245787878788,-0.9952465454545455,0.17583669696969698,7872.242424242424,-47.333333333333336,56.57575757575758,-525.5454545454545
0 days 00:00:24.383095,-5.6938417647058825,-1.2968413235294118,-0.3083723235294118,0.6329218823529412,0.8989673529411765,-0.25254535294117647,0.10362479411764708,-0.5134663823529412,-1.6114939117647058,0.010386147058823528,-0.07027673529411765,-0.07961891176470588,10.0,26.58823529411765,-67.88235294117646,0.03000388235294118,0.10121547058823528,0.0,0.001996470588235294,0.07437288235294116,437.11764705882354,-0.6611730588235294,0.0,0.0,-0.31397482352941175,10.259374176470589,8631.470588235294,7649.35294117647,7927.470588235294,8211.117647058823,8283.14705882353,7237.705882352941,7423.617647058823,8043.911764705882,-1.7938417647058824,-1.7968413235294118,-1.0083723235294118,0.6329218823529412,0.8989673529411765,-0.25254535294117647,0.010386147058823528,-0.07027673529411765,-0.07961891176470588,-0.018074,0.173221,0.220323,-0.002523,-0.018652,0.002296,-0.612764294117647,-0.24962670588235292,-11.20706005882353,-2.2772000588235293,0.05465873529411765,-0.09951608823529412,-1.826563,-1.849524,-0.997511,0.129973,6702.941176470588,831.4411764705883,26.676470588235293,-300.05882352941177
0 days 00:00:24.448095,-5.652878393939394,-1.2426774242424243,-0.3256296060606061,0.6372824545454545,0.8364303030303031,-0.27659309090909096,-0.10919733333333334,-1.3059745757575758,0.49547648484848483,-0.06973978787878789,-0.06922842424242424,-0.08776751515151515,10.0,15.333333333333334,-67.66666666666667,0.05057909090909091,0.10470136363636363,0.0,0.0030854848484848482,0.16141254545454545,450.0,-0.6193176666666667,0.0,0.0,0.6561584545454545,9.461054272727273,7921.545454545455,6963.545454545455,6738.909090909091,8065.363636363636,7798.969696969697,7109.121212121212,6619.454545454545,8069.636363636364,-1.752878393939394,-1.7426774242424243,-1.025629606060606,0.6372824545454545,0.8364303030303031,-0.27659309090909096,-0.06973978787878789,-0.06922842424242424,-0.08776751515151515,-0.018786,0.17303366666666667,0.220279,-0.0025009999999999998,-0.018655333333333333,0.0023233333333333335,-0.5937500303030303,-0.30832736363636365,-9.156871454545454,-0.040889848484848494,-0.08732096969696969,-0.11587066666666668,-1.7835023333333335,-1.7910599999999999,-1.0112436666666669,0.050473000000000004,6211.939393939394,1068.3030303030303,109.42424242424242,536.6363636363636
