time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,pitch_sum,raw_divergence,color_count,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,ekf_X1,ekf_X2,ekf_X3,ekf_X4,ekf_X5,ekf_X6,ekf_X7,ekf_X8,ekf_X9,ekf_X10,ekf_X11,ekf_X12,ekf_X13,ekf_X14,ekf_X15,ekf_U1,ekf_U2,ekf_U3,ekf_U4,ekf_U5,ekf_U6,ekf_Z1,ekf_Z2,ekf_Z3,ekf_Z4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,pos_z_inverted
0 days 00:01:08.710867,-6.13283903030303,-2.187552424242424,0.25893781818181816,0.0752399090909091,0.14970227272727274,-0.31997678787878786,0.43115709090909093,1.3406517575757575,-4.763721848484849,0.10573424242424243,-0.05838590909090909,-0.040667666666666664,10.0,8.0,-80.0,-0.014281363636363637,0.009516545454545455,0.0,-1.1578068787878788,-0.12946409090909092,308.969696969697,9456.333333333334,9122.60606060606,9150.363636363636,9310.787878787878,8951.151515151516,8878.424242424242,9142.454545454546,8532.575757575758,-2.1328390303030305,-2.187552424242424,-0.4410621818181818,0.0752399090909091,0.14970227272727274,-0.31997678787878786,0.10573424242424243,-0.05838590909090909,-0.040667666666666664,0.13818145454545452,-0.03653318181818182,0.17406763636363637,0.03309245454545455,-0.019181999999999998,0.019353545454545453,-0.033883757575757574,-0.2698863333333333,-14.465050878787878,1.194269393939394,-0.26646842424242423,0.1192220909090909,-2.1429435454545454,-2.1912952727272725,-0.43659200000000004,0.04801609090909091,8797.90909090909,-265.0,77.06060606060606,-1149.2727272727273,-0.25893781818181816
0 days 00:01:08.775867,-6.12821206060606,-2.1748621212121213,0.23122412121212116,0.11732212121212121,0.2431472727272727,-0.495798303030303,0.6366447575757574,1.5685457575757575,-1.315715424242424,0.14135406060606062,-0.06501369696969697,-0.03796845454545454,10.0,9.0,-79.72727272727273,-0.02622039393939394,0.012894060606060605,0.0,-2.536870090909091,-0.1421971818181818,302.72727272727275,8512.90909090909,7881.787878787879,8589.363636363636,7524.787878787879,8467.939393939394,6731.121212121212,8427.30303030303,7317.818181818182,-2.1282120606060606,-2.1748621212121213,-0.4687758787878788,0.11732212121212121,0.2431472727272727,-0.495798303030303,0.14135406060606062,-0.06501369696969697,-0.03796845454545454,0.137051,-0.03665,0.174064,0.033092,-0.019187,0.019359,0.20623224242424243,-0.050278121212121205,-11.07862806060606,-0.16196881818181819,0.04276160606060606,-0.06321760606060606,-2.141809,-2.186968,-0.440877,0.079682,6687.363636363636,313.1212121212121,-272.6969696969697,-2009.121212121212,-0.23122412121212116
0 days 00:01:08.840867,-6.12190905882353,-2.155540382352941,0.19846261764705875,0.15572779411764706,0.33111220588235296,-0.5331251470588235,0.31843776470588236,1.1597456764705882,0.06605682352941175,0.1238285588235294,-0.06763873529411765,-0.047977,10.0,19.0,-77.0,-0.009347,0.021203,0.0,-3.9973861764705885,0.153013,310.0,8158.14705882353,7619.5,8160.058823529412,7675.264705882353,8220.323529411764,8102.088235294118,8004.176470588235,7862.705882352941,-2.1219090588235296,-2.155540382352941,-0.5015373823529412,0.15572779411764706,0.33111220588235296,-0.5331251470588235,0.1238285588235294,-0.06763873529411765,-0.047977,0.13305473529411765,-0.03750705882352941,0.17399561764705881,0.03309017647058824,-0.019196117647058822,0.019368117647058824,-0.07103061764705883,-0.08832144117647057,-9.642319588235294,-0.331176705882353,-0.2626092058823529,0.0034394705882352947,-2.1331864411764707,-2.1648841470588236,-0.4795230588235294,0.09085567647058823,7126.764705882353,-11.588235294117647,227.38235294117646,-183.35294117647058,-0.19846261764705875
0 days 00:01:08.905867,-6.111788212121212,-2.1313954242424242,0.1642097272727272,0.19476130303030303,0.3963131818181818,-0.5550715454545454,0.40804330303030306,0.7700161515151516,-0.4417993333333334,0.09164151515151514,-0.07276930303030303,-0.04548833333333333,10.0,23.242424242424242,-74.57575757575758,-0.013187878787878788,0.02632148484848485,0.0,-5.668580484848484,0.020712545454545452,307.57575757575756,8290.757575757576,7758.393939393939,7989.424242424242,7781.787878787879,8326.636363636364,7765.939393939394,8049.636363636364,7843.181818181818,-2.1117882121212124,-2.1313954242424242,-0.5357902727272728,0.19476130303030303,0.3963131818181818,-0.5550715454545454,0.09164151515151514,-0.07276930303030303,-0.04548833333333333,0.1309279696969697,-0.037777909090909084,0.1739440909090909,0.03308921212121212,-0.019200545454545456,0.019372151515151516,-0.014470909090909114,-0.20386472727272725,-10.113074121212122,-0.4904045151515151,0.07703745454545455,0.03785663636363636,-2.1264917575757574,-2.1486380606060607,-0.5011242121212122,0.09126966666666667,7054.848484848485,176.75757575757575,99.63636363636364,-541.4545454545455,-0.1642097272727272
0 days 00:01:08.970867,-6.099687333333334,-2.1041658181818184,0.12960760606060595,0.22980836363636362,0.4340451515151515,-0.5686446060606061,0.40696781818181815,0.3782434242424243,-0.1650699393939394,0.060389515151515145,-0.06432424242424242,-0.044991393939393935,10.0,25.21212121212121,-74.18181818181819,-0.005720181818181819,0.03258172727272727,0.0,-7.159685545454545,0.03012363636363636,311.5151515151515,8306.424242424242,7556.363636363636,7866.030303030303,7821.818181818182,8407.757575757576,7448.515151515152,7724.727272727273,7978.909090909091,-2.0996873333333332,-2.1041658181818184,-0.570392393939394,0.22980836363636362,0.4340451515151515,-0.5686446060606061,0.060389515151515145,-0.06432424242424242,-0.044991393939393935,0.128251,-0.038067,0.173875,0.033088,-0.019206,0.019377,0.10046757575757574,-0.2502368181818182,-9.81599190909091,-0.36472390909090907,0.12402345454545456,0.01908739393939394,-2.117476,-2.126932,-0.528603,0.090243,6904.727272727273,605.6969696969697,76.27272727272727,-497.75757575757575,-0.12960760606060595
0 days 00:01:09.035867,-6.08520009090909,-2.075283909090909,0.09605087878787877,0.2732869696969697,0.4554370606060606,-0.5544203030303031,0.4723713636363636,0.4459969696969697,0.8558939393939394,0.07574436363636364,-0.05358672727272727,-0.04657039393939394,10.0,22.90909090909091,-76.0,0.010980848484848484,0.03811275757575757,0.0,-8.363424848484849,0.17301963636363635,319.27272727272725,8018.969696969697,7357.272727272727,7696.181818181818,7844.666666666667,7818.242424242424,7667.121212121212,7757.0,7717.969696969697,-2.085200090909091,-2.075283909090909,-0.6039491212121212,0.2732869696969697,0.4554370606060606,-0.5544203030303031,0.07574436363636364,-0.05358672727272727,-0.04657039393939394,0.12539063636363634,-0.038712090909090904,0.17376154545454547,0.03308654545454545,-0.01921109090909091,0.019381363636363634,0.27914875757575763,-0.242276303030303,-8.803030363636363,0.8351089393939394,0.07061581818181817,-0.010742121212121212,-2.1006679999999998,-2.093436727272727,-0.566939,0.07249827272727273,6693.030303030303,55.90909090909091,5.2727272727272725,-134.21212121212122,-0.09605087878787877
0 days 00:01:09.100867,-6.06723905882353,-2.043638205882353,0.06335405882352929,0.3049221764705883,0.5064350294117647,-0.511700705882353,0.33536244117647057,1.0474487352941175,0.014000029411764814,0.11288938235294119,-0.05055544117647059,-0.04446905882352942,10.0,18.0,-76.0,0.003588,0.044697,0.0,-9.422797882352942,-0.07434,316.0,7739.176470588235,7417.823529411765,7595.382352941177,7473.35294117647,7820.882352941177,7363.0,7662.823529411765,7511.382352941177,-2.0672390588235294,-2.043638205882353,-0.6366459411764707,0.3049221764705883,0.5064350294117647,-0.511700705882353,0.11288938235294119,-0.05055544117647059,-0.04446905882352942,0.12320270588235294,-0.03921517647058824,0.1736848823529412,0.033084823529411764,-0.019214411764705883,0.01938394117647059,0.09360638235294119,-0.09024582352941177,-9.68350755882353,0.3541834117647059,0.05970670588235293,0.040872058823529414,-2.088042176470588,-2.0689061176470585,-0.5930246470588235,0.07128470588235294,6480.5,152.97058823529412,4.882352941176471,-430.02941176470586,-0.06335405882352929
0 days 00:01:09.165867,-6.048142848484849,-2.0070630303030303,0.03362175757575758,0.3239798484848485,0.5787597272727272,-0.46986957575757576,0.040206909090909126,1.0463815454545455,1.0292810303030302,0.1251789090909091,-0.04677984848484849,-0.04452584848484848,10.0,15.909090909090908,-76.0,0.014562666666666665,0.048301000000000004,0.0,-10.378420424242423,0.11212466666666666,322.27272727272725,7776.060606060606,7331.787878787879,7639.666666666667,7461.121212121212,7884.30303030303,7415.333333333333,7641.333333333333,7544.121212121212,-2.0481428484848485,-2.0070630303030303,-0.6663782424242424,0.3239798484848485,0.5787597272727272,-0.46986957575757576,0.1251789090909091,-0.04677984848484849,-0.04452584848484848,0.119578,-0.040064,0.173574,0.033081,-0.019219,0.019387,-0.13304930303030305,-0.09312857575757576,-8.66533493939394,0.06150112121212121,-0.007464727272727276,0.022823454545454546,-2.067493,-2.030004,-0.631081,0.088967,6525.333333333333,185.54545454545453,57.0,-399.6363636363636,-0.03362175757575758
0 days 00:01:09.230867,-6.027919545454545,-1.9670667575757574,0.00761748484848479,0.34196651515151516,0.6422985454545455,-0.40982430303030304,0.31420848484848485,0.9692378181818182,0.6252371818181818,0.12444484848484848,-0.044913242424242425,-0.04482781818181818,10.0,15.969696969696969,-74.54545454545455,0.009630909090909091,0.05213618181818182,0.0,-11.222926181818181,0.034509272727272736,319.6666666666667,7818.69696969697,7438.545454545455,7694.272727272727,7522.121212121212,7866.272727272727,7561.060606060606,7769.060606060606,7604.272727272727,-2.0279195454545453,-1.9670667575757574,-0.6923825151515152,0.34196651515151516,0.6422985454545455,-0.40982430303030304,0.12444484848484848,-0.044913242424242425,-0.04482781818181818,0.11683912121212121,-0.04095987878787878,0.17348245454545455,0.033078696969696966,-0.019222454545454543,0.019388727272727276,0.15252139393939387,-0.1930930909090909,-9.067146090909091,-0.07474403030303031,0.011807515151515154,0.019420272727272727,-2.048319121212121,-1.993519393939394,-0.6572157878787879,0.08920075757575757,6636.636363636364,69.9090909090909,26.90909090909091,-331.75757575757575,-0.00761748484848479
0 days 00:01:09.295867,-6.005536529411765,-1.9223523235294115,-0.017037823529411855,0.3681960588235294,0.7050166764705882,-0.4090470294117647,0.11004394117647068,0.7530379117647059,-0.2501868823529412,0.10431226470588235,-0.041738,-0.04409858823529412,10.0,16.705882352941178,-72.41176470588235,0.008139764705882353,0.05587623529411764,0.0,-11.98228694117647,-0.02025141176470588,321.05882352941177,7974.323529411765,7485.235294117647,7813.205882352941,7738.205882352941,8039.411764705882,7454.823529411765,7750.382352941177,7775.588235294118,-2.005536529411765,-1.9223523235294115,-0.7170378235294118,0.3681960588235294,0.7050166764705882,-0.4090470294117647,0.10431226470588235,-0.041738,-0.04409858823529412,0.11459735294117647,-0.04169964705882352,0.17340670588235296,0.033076764705882354,-0.01922529411764706,0.019390176470588237,-0.04256667647058826,-0.3228114117647059,-9.913401823529412,-0.40731279411764704,0.01683132352941177,0.01897829411764706,-2.0321164705882353,-1.9625215882352942,-0.6786918235294117,0.08833282352941176,6714.14705882353,304.38235294117646,-15.882352941176471,-394.8529411764706,0.017037823529411855
