time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,pitch_sum,raw_divergence,color_count,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,ekf_X1,ekf_X2,ekf_X3,ekf_X4,ekf_X5,ekf_X6,ekf_X7,ekf_X8,ekf_X9,ekf_X10,ekf_X11,ekf_X12,ekf_X13,ekf_X14,ekf_X15,ekf_U1,ekf_U2,ekf_U3,ekf_U4,ekf_U5,ekf_U6,ekf_Z1,ekf_Z2,ekf_Z3,ekf_Z4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,pos_z_inverted
0 days 00:02:01.684583,-4.374545818181819,-1.6057313333333334,-0.47265539393939404,-0.14532066666666665,-0.015003333333333334,0.024569454545454544,0.06644693939393934,0.2668322727272727,0.528932303030303,0.013105515151515151,-0.049859939393939394,0.02866827272727273,0.316358,-6.454545454545454,-60.0,0.309482,0.224726,0.322128,-24.328835,0.309482,675.1818181818181,7823.060606060606,7584.939393939394,7620.181818181818,7271.30303030303,7834.151515151515,7594.757575757576,7651.575757575758,7231.424242424242,-0.3745458181818182,-0.6057313333333333,-1.172655393939394,-0.14532066666666665,-0.015003333333333334,0.024569454545454544,0.013105515151515151,-0.049859939393939394,0.02866827272727273,0.0618109696969697,-0.010409181818181817,0.36388357575757574,0.036893,-0.015687969696969697,0.011063545454545454,-0.4125531818181818,0.14589242424242424,-8.909475515151515,0.031109484848484848,-0.04214015151515151,0.004794121212121213,-0.3641432424242424,-0.6060503333333334,-1.164706424242424,0.04362118181818182,6464.181818181818,-90.24242424242425,272.4848484848485,-465.6060606060606,0.47265539393939404
0 days 00:02:01.749583,-4.3828173823529415,-1.6064774411764704,-0.46892864705882364,-0.13303017647058824,0.0028935,0.04290920588235294,0.26773264705882355,0.22138541176470586,0.08465032352941178,0.011262000000000001,-0.05199297058823529,0.02755808823529412,0.316358,-7.529411764705882,-60.0,0.309482,0.224726,0.322128,-24.328835,0.309482,672.4705882352941,7838.235294117647,7628.176470588235,7603.470588235294,7288.85294117647,7829.058823529412,7625.558823529412,7597.823529411765,7302.588235294118,-0.38281738235294116,-0.6064774411764705,-1.1689286470588236,-0.13303017647058824,0.0028935,0.04290920588235294,0.011262000000000001,-0.05199297058823529,0.02755808823529412,0.06185800000000001,-0.010223,0.36387,0.036893,-0.015687,0.011065,-0.2744141176470589,0.12356382352941175,-9.364028029411765,-0.009420970588235295,-0.03617588235294118,0.009837411764705883,-0.369863,-0.607869,-1.162496,0.041147,6479.441176470588,-45.76470588235294,276.5,-351.97058823529414,0.46892864705882364
0 days 00:02:01.814583,-4.3876938787878785,-1.6070797575757576,-0.46370957575757576,-0.11955233333333333,0.010510636363636364,0.05399863636363636,0.30957542424242424,0.040365303030303015,0.25722999999999996,0.010046,-0.05205654545454546,0.02709539393939394,0.316358,-9.0,-60.0,0.309482,0.224726,0.322128,-24.328835,0.309482,671.0,7800.030303030303,7634.545454545455,7654.060606060606,7311.515151515152,7841.939393939394,7610.909090909091,7606.727272727273,7325.606060606061,-0.3876938787878788,-0.6070797575757576,-1.1637095757575757,-0.11955233333333333,0.010510636363636364,0.05399863636363636,0.010046,-0.05205654545454546,0.02709539393939394,0.06180351515151515,-0.009897969696969697,0.36384839393939394,0.036893939393939396,-0.015683242424242422,0.011067818181818182,-0.2368015757575758,-0.03678384848484849,-9.194010424242423,-0.03539300000000001,-0.037139000000000005,0.009218181818181818,-0.3762320909090909,-0.6098915151515152,-1.1574683636363636,0.038165363636363636,6490.030303030303,-24.96969696969697,259.75757575757575,-361.45454545454544,0.46370957575757576
0 days 00:02:01.879583,-4.3929157878787874,-1.6067879393939393,-0.45888036363636364,-0.10042809090909091,0.016990666666666664,0.06908760606060606,0.3899812424242425,0.07989621212121213,0.1342050303030303,0.010319424242424241,-0.05215581818181818,0.026834757575757574,0.316358,-8.242424242424242,-60.0,0.309482,0.224726,0.322128,-24.328835,0.309482,664.939393939394,7743.909090909091,7688.575757575758,7667.454545454545,7328.757575757576,7726.363636363636,7676.151515151515,7664.121212121212,7351.393939393939,-0.39291578787878784,-0.6067879393939394,-1.1588803636363636,-0.10042809090909091,0.016990666666666664,0.06908760606060606,0.010319424242424241,-0.05215581818181818,0.026834757575757574,0.061700333333333336,-0.009754666666666667,0.3638416666666666,0.036894666666666666,-0.015681,0.011068666666666666,-0.15826227272727275,-0.003255181818181831,-9.321555393939395,0.038011939393939397,0.010276121212121217,0.02369639393939394,-0.377222,-0.6104613333333333,-1.1548103333333333,0.038783,6501.666666666667,-130.96969696969697,193.21212121212122,-256.2121212121212,0.45888036363636364
0 days 00:02:01.944583,-4.3945758235294115,-1.6065542352941176,-0.4523264117647059,-0.05847461764705882,0.023846235294117647,0.08854908823529412,0.6219001176470589,0.10789699999999999,0.20386835294117647,0.007436852941176471,-0.05336794117647059,0.027238205882352942,0.316358,-8.0,-60.0,0.309482,0.224726,0.322128,-24.328835,0.309482,660.2058823529412,7848.558823529412,7647.029411764706,7635.823529411765,7339.0,7799.441176470588,7688.911764705882,7654.294117647059,7318.382352941177,-0.3945758235294118,-0.6065542352941177,-1.1523264117647058,-0.05847461764705882,0.023846235294117647,0.08854908823529412,0.007436852941176471,-0.05336794117647059,0.027238205882352942,0.061501,-0.00951,0.363831,0.036896,-0.015677,0.01107,0.09848920588235292,0.043744323529411766,-9.263470794117648,0.05758126470588235,-0.004416000000000001,-0.00023688235294117623,-0.37838,-0.61134,-1.150143,0.040403,6516.823529411765,-112.47058823529412,257.44117647058823,-315.0882352941176,0.4523264117647059
0 days 00:02:02.009583,-4.391414636363637,-1.606270303030303,-0.44552724242424246,-0.006094424242424243,0.019765363636363636,0.08028436363636364,0.9413256666666666,-0.16311536363636361,-0.4322934242424243,0.005588242424242424,-0.0515639393939394,0.02776251515151515,0.316358,-8.0,-60.0,0.309482,0.224726,0.322128,-24.328835,0.309482,658.3636363636364,7847.848484848485,7653.818181818182,7584.787878787879,7375.515151515152,7872.090909090909,7644.30303030303,7616.848484848485,7317.424242424242,-0.3914146363636364,-0.606270303030303,-1.1455272424242424,-0.006094424242424243,0.019765363636363636,0.08028436363636364,0.005588242424242424,-0.0515639393939394,0.02776251515151515,0.06109681818181819,-0.009225272727272726,0.3638260909090909,0.03689763636363636,-0.015670454545454543,0.011071636363636365,0.43205493939393935,-0.22662166666666667,-9.913914545454546,0.029000939393939395,0.02215766666666667,0.016756939393939393,-0.3753453636363636,-0.6106461818181819,-1.1442774545454546,0.03876581818181818,6513.212121212121,-35.72727272727273,290.6363636363636,-372.2121212121212,0.44552724242424246
0 days 00:02:02.074583,-4.388356606060606,-1.6057487878787877,-0.44016693939393936,0.011130121212121213,0.012970030303030303,0.08671969696969696,-0.15719754545454534,0.014663090909090903,0.38116042424242425,0.006619515151515151,-0.04628915151515151,0.026549757575757574,0.316358,-8.0,-60.0,0.309482,0.224726,0.322128,-24.328835,0.309482,659.0,7790.363636363636,7626.333333333333,7686.484848484848,7366.212121212121,7774.727272727273,7559.363636363636,7686.181818181818,7439.363636363636,-0.38835660606060607,-0.6057487878787878,-1.1401669393939393,0.011130121212121213,0.012970030303030303,0.08671969696969696,0.006619515151515151,-0.04628915151515151,0.026549757575757574,0.06090645454545455,-0.009121090909090909,0.36382536363636364,0.03689818181818182,-0.015667545454545455,0.011072181818181818,-0.5329959999999999,-0.04977515151515152,-9.04637190909091,0.0031959696969696997,0.10941942424242423,-0.0022859393939393935,-0.3732873636363636,-0.6102378181818182,-1.141726,0.035920181818181816,6516.333333333333,-15.848484848484848,104.06060606060606,-326.27272727272725,0.44016693939393936
0 days 00:02:02.139583,-4.381924363636363,-1.6058052727272727,-0.4333710000000002,0.01775539393939394,0.01742342424242424,0.10579221212121212,0.009943303030303033,0.10996418181818182,0.3414886363636363,0.007119151515151515,-0.043927272727272725,0.02582709090909091,0.316358,-8.848484848484848,-60.0,0.309482,0.224726,0.322128,-24.328835,0.309482,652.2121212121212,7774.848484848485,7648.515151515152,7656.363636363636,7399.363636363636,7815.090909090909,7684.69696969697,7632.757575757576,7371.727272727273,-0.3819243636363637,-0.6058052727272727,-1.1333710000000001,0.01775539393939394,0.01742342424242424,0.10579221212121212,0.007119151515151515,-0.043927272727272725,0.02582709090909091,0.060454,-0.008937,0.363827,0.036899,-0.015661,0.011073,-0.34309884848484856,0.043353393939393935,-9.097804212121211,0.049908242424242424,-0.043397878787878784,0.011297030303030304,-0.367061,-0.609094,-1.13611,0.024752,6532.090909090909,-65.27272727272727,247.3030303030303,-276.3636363636364,0.4333710000000002
0 days 00:02:02.204583,-4.375839882352941,-1.6046037352941176,-0.426620705882353,0.05462235294117647,0.025941558823529415,0.09827126470588235,0.491507794117647,0.12373261764705881,-0.36513782352941176,0.008100941176470589,-0.04374008823529412,0.02593014705882353,0.316358,-10.294117647058824,-60.0,0.309482,0.224726,0.322128,-24.328835,0.309482,659.4117647058823,7769.5,7678.441176470588,7664.0,7410.882352941177,7765.323529411765,7697.882352941177,7632.470588235294,7406.323529411765,-0.3758398823529412,-0.6046037352941176,-1.126620705882353,0.05462235294117647,0.025941558823529415,0.09827126470588235,0.008100941176470589,-0.04374008823529412,0.02593014705882353,0.06014588235294118,-0.008854941176470588,0.3638338823529412,0.03689952941176471,-0.015656764705882353,0.011073,0.11348232352941175,0.032082941176470585,-9.824362382352941,0.03216914705882353,-0.0020895294117647075,0.019516882352941176,-0.36097805882352946,-0.6073607058823529,-1.1321251176470586,0.026399,6531.294117647059,-79.08823529411765,211.8235294117647,-207.3235294117647,0.426620705882353
0 days 00:02:02.269583,-4.367589393939394,-1.6028925454545455,-0.4207677878787879,0.08640951515151515,0.032409909090909086,0.09408033333333334,0.9578918484848484,0.12832430303030304,-0.2303893939393939,0.006717939393939394,-0.04180484848484848,0.026822757575757576,0.316358,-10.545454545454545,-59.54545454545455,0.309482,0.224726,0.322128,-24.328835,0.309482,663.5454545454545,7863.272727272727,7685.848484848485,7591.0,7361.939393939394,7748.575757575758,7638.636363636364,7730.848484848485,7382.0,-0.36758939393939394,-0.6028925454545455,-1.1207677878787878,0.08640951515151515,0.032409909090909086,0.09408033333333334,0.006717939393939394,-0.04180484848484848,0.026822757575757576,0.059872,-0.008782,0.36384,0.0369,-0.015653,0.011073,0.6224254242424242,0.036251151515151514,-9.70596584848485,0.0837549696969697,0.13427730303030302,0.003277333333333333,-0.355571,-0.60582,-1.128583,0.027863,6530.575757575758,-119.39393939393939,136.96969696969697,-323.90909090909093,0.4207677878787879
