time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,dt,raw_divergence,color_count,mu_x,p_output,i_output,mu_y, mu_z,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,ekf_X1,ekf_X2,ekf_X3,ekf_X4,ekf_X5,ekf_X6,ekf_X7,ekf_X8,ekf_X9,ekf_X10,ekf_X11,ekf_X12,ekf_X13,ekf_X14,ekf_X15,ekf_U1,ekf_U2,ekf_U3,ekf_U4,ekf_U5,ekf_U6,ekf_Z1,ekf_Z2,ekf_Z3,ekf_Z4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,pos_z_inverted
0 days 00:03:11.675925,-6.816461852941177,-2.6773416470588236,-0.3305227352941178,0.3491609705882353,0.3550567352941177,-0.4703264411764706,1.4065975,-0.09213935294117652,-0.0003228235294118263,-0.0355575294117647,-0.10703288235294117,0.46234326470588233,10.0,15.294117647058824,-2.7058823529411766,-0.009834382352941177,0.049324617647058824,0.0,0.0029945294117647058,-0.10513379411764706,289.47058823529414,-1.5,0.0,0.0,0.004717470588235288,9.984973852941177,7679.823529411765,7713.382352941177,7528.794117647059,8049.470588235294,7598.676470588235,7682.705882352941,7413.470588235294,7952.64705882353,-1.8164618529411765,-0.6773416470588236,-1.0305227352941178,0.3491609705882353,0.3550567352941177,-0.4703264411764706,-0.0355575294117647,-0.10703288235294117,0.46234326470588233,-0.2723076470588235,0.133494,0.003345,-0.0010080588235294118,-0.014961999999999998,-0.011943764705882353,-0.3232996764705882,-0.12520102941176464,-9.904612794117648,0.15713323529411766,-0.10533229411764705,-0.04696829411764706,-1.8357084117647058,-0.6816283529411764,-0.9872604117647059,0.11038223529411764,6582.588235294118,227.1764705882353,-42.26470588235294,439.7647058823529,0.3305227352941178
0 days 00:03:11.740925,-6.793109818181819,-2.6518201515151514,-0.3576528181818184,0.40809654545454543,0.3707947878787879,-0.4672328787878788,1.2085864848484849,0.5665080909090908,0.19340572727272728,-0.002127757575757576,-0.11821657575757576,0.46101084848484847,10.0,12.0,-6.0,0.021089,0.063921,0.0,0.0,0.231134,301.0,-1.0942184848484848,0.0,0.0,0.70931,9.833564,7561.818181818182,7790.393939393939,7161.69696969697,7803.666666666667,7586.454545454545,7880.939393939394,7143.545454545455,7709.606060606061,-1.7931098181818181,-0.6518201515151515,-1.0576528181818183,0.40809654545454543,0.3707947878787879,-0.4672328787878788,-0.002127757575757576,-0.11821657575757576,0.46101084848484847,-0.272542,0.1338410909090909,0.0033157272727272727,-0.0010097272727272726,-0.014962181818181817,-0.011944363636363637,-0.2938861212121212,0.23239230303030303,-9.705551636363637,0.8206824242424242,-0.1412982424242424,-0.03313648484848485,-1.8237506363636364,-0.6640945454545454,-0.9985979090909093,0.1102150909090909,6467.181818181818,135.6060606060606,306.6969696969697,607.5454545454545,0.3576528181818184
0 days 00:03:11.805925,-6.768487878787878,-2.622250090909091,-0.37940696969696974,0.4461819393939394,0.42656027272727276,-0.4494669393939394,0.6619995151515152,0.9820674545454545,0.38672896969696974,0.05874318181818182,-0.10842921212121212,0.4606161212121212,10.0,10.06060606060606,-6.96969696969697,0.005559878787878788,0.07231636363636365,0.0,0.002057060606060606,-0.12601324242424242,295.1818181818182,-0.8448486363636364,0.0,0.0,0.37738266666666664,9.86092290909091,7310.545454545455,8037.787878787879,7264.454545454545,7558.151515151515,7266.030303030303,8039.242424242424,7403.909090909091,7576.060606060606,-1.7684878787878788,-0.6222500909090909,-1.0794069696969697,0.4461819393939394,0.42656027272727276,-0.4494669393939394,0.05874318181818182,-0.10842921212121212,0.4606161212121212,-0.273118,0.134521,0.003256,-0.001013,-0.014963,-0.011946,-0.4821556363636364,0.2884706363636364,-9.494998818181818,0.8228723636363636,0.393318,-0.01163730303030303,-1.795183,-0.629141,-1.027393,0.12184800000000001,6454.757575757576,-300.06060606060606,162.45454545454547,667.3030303030303,0.37940696969696974
0 days 00:03:11.870925,-6.740422787878788,-2.592554212121212,-0.40552860606060603,0.4614844848484848,0.49503009090909084,-0.431162303030303,0.5551155757575758,0.9230010909090909,-0.27218763636363646,0.08269348484848485,-0.07634445454545455,0.46461766666666665,10.0,11.363636363636363,-6.090909090909091,0.003293333333333334,0.07594436363636364,0.0,0.002571181818181818,-0.09431542424242424,294.54545454545456,-0.7920849090909091,0.0,0.0,0.09949775757575757,10.012910545454547,7211.606060606061,7909.969696969697,7572.393939393939,7602.909090909091,7294.424242424242,7897.818181818182,7705.757575757576,7653.939393939394,-1.740422787878788,-0.5925542121212122,-1.105528606060606,0.4614844848484848,0.49503009090909084,-0.431162303030303,0.08269348484848485,-0.07634445454545455,0.46461766666666665,-0.2733381818181818,0.13462136363636362,0.003240727272727273,-0.0010133636363636362,-0.01496390909090909,-0.011946363636363637,-0.35987806060606065,0.012695333333333362,-10.136541181818181,-0.03414266666666666,0.4761630606060606,0.012325454545454546,-1.7874459090909092,-0.6204140909090908,-1.0340904545454546,0.11448381818181819,6548.969696969697,-327.06060606060606,-83.60606060606061,389.24242424242425,0.40552860606060603
0 days 00:03:11.935925,-6.717126352941177,-2.558738794117647,-0.42350158823529416,0.44179276470588236,0.5181361176470588,-0.43885058823529416,-0.12402038235294119,-0.13862514705882345,-0.35974802941176476,0.053100794117647065,-0.053465382352941175,0.4676180882352941,10.0,10.882352941176471,-4.205882352941177,0.004935823529411765,0.07870194117647059,0.0,0.002994764705882353,0.007911176470588237,295.5882352941176,-0.7419271176470588,0.0,0.0,-0.27995229411764705,10.063930823529413,7456.588235294118,7867.676470588235,7819.823529411765,7737.705882352941,7478.470588235294,7740.882352941177,7709.117647058823,7708.794117647059,-1.7171263529411767,-0.5587387941176472,-1.1235015882352941,0.44179276470588236,0.5181361176470588,-0.43885058823529416,0.053100794117647065,-0.053465382352941175,0.4676180882352941,-0.274329,0.135073,0.003172,-0.001015,-0.014968,-0.011948,-1.197409294117647,-0.3369714705882353,-10.114717411764707,-0.8214902647058823,0.1644000294117647,-0.0018167058823529416,-1.752629,-0.581143,-1.064229,0.081345,6579.088235294118,-131.14705882352942,-99.1470588235294,185.02941176470588,0.42350158823529416
0 days 00:03:12.000925,-6.690499515151515,-2.5204369393939396,-0.44456648484848493,0.4387689393939394,0.5270759090909092,-0.44593160606060606,0.35518278787878793,-0.1721972121212121,0.26229606060606064,-0.0029196666666666668,-0.050585333333333336,0.46768045454545454,10.0,4.575757575757576,-1.9393939393939394,0.015804939393939395,0.074139,0.0,0.002057030303030303,0.0957158787878788,300.0,-0.6949509393939394,0.0,0.0,-0.37570630303030306,9.561316818181817,7404.424242424242,7469.969696969697,7396.030303030303,7554.181818181818,7440.0,7449.212121212121,7298.121212121212,7524.121212121212,-1.6904995151515152,-0.5204369393939394,-1.1445664848484849,0.4387689393939394,0.5270759090909092,-0.44593160606060606,-0.0029196666666666668,-0.050585333333333336,0.46768045454545454,-0.2747451515151515,0.13562160606060608,0.003110939393939394,-0.0010187575757575756,-0.014967060606060605,-0.01195081818181818,-0.7213542121212121,-0.029356121212121222,-9.542998363636364,-0.8052053939393939,-0.06666512121212122,-0.03875178787878787,-1.7104727575757577,-0.5286318181818183,-1.0995098181818181,0.054270727272727276,6252.30303030303,108.06060606060606,33.39393939393939,166.0,0.44456648484848493
0 days 00:03:12.065925,-6.662045090909091,-2.4865934242424244,-0.47202872727272727,0.4516800303030303,0.5148861212121212,-0.4213260606060606,0.6105771818181818,-0.22325012121212123,0.4962184848484848,-0.038305181818181815,-0.05286054545454545,0.4656161818181818,10.0,-2.0,-1.0,0.014299,0.076955,0.0,0.0,0.0,300.0,-0.6515726666666667,0.0,0.0,-0.175972,9.374399,7377.636363636364,7339.939393939394,7087.424242424242,7558.878787878788,7354.666666666667,7370.090909090909,7073.060606060606,7552.969696969697,-1.662045090909091,-0.4865934242424243,-1.1720287272727272,0.4516800303030303,0.5148861212121212,-0.4213260606060606,-0.038305181818181815,-0.05286054545454545,0.4656161818181818,-0.274772,0.135657,0.003107,-0.001019,-0.014967,-0.011951,-0.515358696969697,0.12946854545454548,-9.329249484848484,-0.21373406060606062,-0.02026369696969697,-0.04996748484848485,-1.707753,-0.525244,-1.101786,0.052524,6125.030303030303,231.9090909090909,49.18181818181818,349.6363636363636,0.47202872727272727
0 days 00:03:12.130925,-6.635326794117647,-2.455692088235294,-0.4935257941176472,0.4742911470588235,0.4894539411764706,-0.3810415,0.5388939117647058,-0.17225279411764705,0.0847871764705883,-0.02824355882352941,-0.051157588235294114,0.4632035882352941,10.0,-2.8529411764705883,-1.0,0.0071927647058823525,0.08344358823529412,0.0,0.0019965,-0.06111905882352941,297.44117647058823,-0.6102746470588236,0.0,0.0,0.006004941176470589,9.730116764705883,7338.794117647059,7579.029411764706,7120.14705882353,7662.411764705882,7355.294117647059,7705.176470588235,7213.823529411765,7724.911764705882,-1.6353267941176473,-0.45569208823529417,-1.1935257941176471,0.4742911470588235,0.4894539411764706,-0.3810415,-0.02824355882352941,-0.051157588235294114,0.4632035882352941,-0.2751949411764706,0.135847,0.003073764705882353,-0.001018705882352941,-0.014969647058823529,-0.011951294117647058,-0.5650275588235294,0.1301126176470588,-9.736960058823529,0.41194408823529416,0.044045852941176473,-0.04340679411764706,-1.6939291764705882,-0.5079207647058823,-1.112560705882353,0.054300764705882354,6353.794117647059,80.44117647058823,60.76470588235294,607.8235294117648,0.4935257941176472
0 days 00:03:12.195925,-6.612117575757576,-2.4237735757575756,-0.5007889999999999,0.45774115151515155,0.4853790303030303,-0.35271509090909087,0.15449442424242427,-0.255946,0.1812635454545455,0.006589848484848485,-0.04505245454545455,0.46299430303030303,10.0,-3.6666666666666665,-3.0,0.036882363636363644,0.08231018181818181,0.0,0.0030854848484848482,0.18289845454545453,311.0,-0.5716390909090909,0.0,0.0,0.35487854545454545,9.815602363636364,7304.030303030303,7811.181818181818,7241.757575757576,7778.181818181818,7320.242424242424,7807.363636363636,7278.090909090909,7762.545454545455,-1.6121175757575759,-0.4237735757575758,-1.2007889999999999,0.45774115151515155,0.4853790303030303,-0.35271509090909087,0.006589848484848485,-0.04505245454545455,0.46299430303030303,-0.276232303030303,0.13666751515151515,0.0029563636363636363,-0.0010207878787878788,-0.014973212121212122,-0.011953393939393939,-0.8879320606060606,-0.08939987878787888,-9.602154303030302,0.5556049090909091,0.08177969696969696,0.00021451515151515164,-1.6253508181818181,-0.4271341818181818,-1.1606582121212121,0.05394130303030303,6413.515151515152,-1.4242424242424243,43.39393939393939,685.8787878787879,0.5007889999999999
0 days 00:03:12.260925,-6.581304393939394,-2.389869696969697,-0.5210878484848485,0.4685908181818182,0.4830581212121212,-0.36087284848484846,0.31083054545454547,-0.10526127272727273,-0.229244393939394,0.04088666666666666,-0.038902151515151515,0.46410260606060605,10.0,-4.454545454545454,-4.454545454545454,0.06798363636363636,0.08220733333333333,0.0,0.002057,0.34142996969696965,325.27272727272725,-0.5359669393939394,0.0,0.0,0.4445678181818182,9.806235575757576,7306.606060606061,7782.181818181818,7310.939393939394,7740.787878787879,7308.484848484848,7788.787878787879,7352.272727272727,7700.484848484848,-1.581304393939394,-0.389869696969697,-1.2210878484848484,0.4685908181818182,0.4830581212121212,-0.36087284848484846,0.04088666666666666,-0.038902151515151515,0.46410260606060605,-0.276262,0.13684048484848485,0.002937272727272727,-0.0010221818181818181,-0.01497181818181818,-0.011954121212121213,-0.6473721515151515,-0.3284504848484848,-10.022283393939393,0.4572902121212121,0.0779770606060606,0.00048827272727272673,-1.6067619696969697,-0.406694303030303,-1.1722097878787878,0.05113724242424242,6407.030303030303,-65.96969696969697,22.181818181818183,584.8484848484849,0.5210878484848485
