time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,dt,raw_divergence,color_count,mu_x,p_output,i_output,mu_y, mu_z,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,ekf_X1,ekf_X2,ekf_X3,ekf_X4,ekf_X5,ekf_X6,ekf_X7,ekf_X8,ekf_X9,ekf_X10,ekf_X11,ekf_X12,ekf_X13,ekf_X14,ekf_X15,ekf_U1,ekf_U2,ekf_U3,ekf_U4,ekf_U5,ekf_U6,ekf_Z1,ekf_Z2,ekf_Z3,ekf_Z4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
0 days 00:00:20.004502,-3.8835098787878786,-1.7062913333333332,-0.2838631818181817,0.06117187878787879,-0.07453709090909091,0.017966727272727273,0.014600818181818196,0.23266718181818183,0.29960872727272736,0.02932921212121212,-0.01139160606060606,-0.17004636363636363,10.0,-11.818181818181818,-117.27272727272727,0.0,0.0,0.0,0.065,0.0,792.3636363636364,0.0,0.0,0.0,0.0,0.0,7620.30303030303,7671.30303030303,7553.969696969697,7566.424242424242,7628.69696969697,7679.0,7558.969696969697,7550.69696969697,0.016490121212121213,-2.206291333333333,-0.9838631818181817,0.06117187878787879,-0.07453709090909091,0.017966727272727273,0.02932921212121212,-0.01139160606060606,-0.17004636363636363,-0.14425333333333334,0.09906166666666666,0.19139466666666666,-0.0011993333333333335,-0.019636,0.002616,-0.4729522121212121,0.02290481818181821,-9.316051121212121,0.05909684848484849,-0.05327448484848485,0.01391609090909091,0.022857333333333334,-2.199846,-1.0042636666666667,0.015596,6501.424242424242,-29.303030303030305,98.96969696969697,29.606060606060606
0 days 00:00:20.069502,-3.876933424242424,-1.7103722424242425,-0.28689866666666675,0.05444633333333333,-0.06318781818181818,0.015637878787878787,-0.20122451515151513,0.4118740303030303,0.17944484848484848,0.030949454545454544,-0.015353333333333333,-0.16975754545454547,10.0,-14.0,-118.0,0.0,0.0,0.0,0.065,0.0,791.6363636363636,0.0,0.0,0.0,0.0,0.0,7683.0,7685.878787878788,7545.787878787879,7495.333333333333,7694.393939393939,7669.333333333333,7563.151515151515,7483.393939393939,0.023066575757575758,-2.2103722424242425,-0.9868986666666667,0.05444633333333333,-0.06318781818181818,0.015637878787878787,0.030949454545454544,-0.015353333333333333,-0.16975754545454547,-0.141344,0.095707,0.191682,-0.001206,-0.019614,0.00261,-0.7405599393939394,0.15462242424242423,-9.432291787878787,-0.001302121212121211,-0.06364672727272727,-0.0027447272727272724,0.028824,-2.204428,-1.007829,0.016372,6498.878787878788,-27.21212121212121,158.24242424242425,-73.93939393939394
0 days 00:00:20.134502,-3.8710387575757577,-1.7126891212121214,-0.29200903030303027,0.027407636363636363,-0.04600633333333333,0.005449515151515151,-0.3030707878787879,0.048051909090909124,-0.15268560606060605,0.028471606060606062,-0.016949454545454545,-0.16986954545454544,10.0,-14.0,-118.0,0.0,0.0,0.0,0.065,0.0,798.0,0.0,0.0,0.0,0.0,0.0,7638.727272727273,7670.30303030303,7536.939393939394,7537.393939393939,7632.757575757576,7677.060606060606,7522.545454545455,7552.545454545455,0.028961242424242424,-2.2126891212121214,-0.9920090303030302,0.027407636363636363,-0.04600633333333333,0.005449515151515151,0.028471606060606062,-0.016949454545454545,-0.16986954545454544,-0.13755260606060607,0.09151354545454546,0.1920972121212121,-0.0012182121212121213,-0.019588636363636364,0.002582757575757576,-0.8010475151515152,-0.22567466666666663,-9.752308303030302,-0.05375539393939394,-0.035592757575757576,0.013301969696969698,0.03564963636363636,-2.208038090909091,-1.0134822727272728,0.021268121212121214,6489.909090909091,-7.212121212121212,117.0909090909091,52.484848484848484
0 days 00:00:20.199502,-3.868048705882353,-1.7142337647058823,-0.29505361764705884,0.018450235294117646,-0.024013764705882353,-0.007101088235294118,0.3018039117647059,0.3828955,-0.17459670588235293,0.025316058823529414,-0.019884764705882352,-0.16905464705882353,10.0,-13.147058823529411,-118.0,0.0,0.0,0.0,0.065,0.0,793.7352941176471,0.0,0.0,0.0,0.0,0.0,7681.882352941177,7655.35294117647,7534.735294117647,7496.588235294118,7688.735294117647,7648.294117647059,7536.705882352941,7485.911764705882,0.03195129411764706,-2.2142337647058823,-0.9950536176470588,0.018450235294117646,-0.024013764705882353,-0.007101088235294118,0.025316058823529414,-0.019884764705882352,-0.16905464705882353,-0.13553700000000002,0.08964988235294118,0.19230888235294116,-0.001227235294117647,-0.019575058823529414,0.002564117647058824,-0.28690835294117656,0.22297220588235292,-9.800034470588235,-0.0505515,-0.06426647058823529,7.20588235294124e-06,0.03876317647058823,-2.2083961764705884,-1.0167577647058823,0.022179,6481.088235294118,-5.117647058823529,157.0,-64.29411764705883
0 days 00:00:20.264502,-3.8646367272727273,-1.7140416363636364,-0.2998472121212121,0.01617581818181818,-0.00883930303030303,-0.02147430303030303,0.0002498181818181928,0.21011148484848485,-0.04681218181818181,0.021869151515151515,-0.02329151515151515,-0.16951154545454544,10.0,-13.0,-118.66666666666667,0.0,0.0,0.0,0.065,0.0,798.3333333333334,0.0,0.0,0.0,0.0,0.0,7698.363636363636,7660.242424242424,7508.181818181818,7464.939393939394,7693.636363636364,7642.939393939394,7511.242424242424,7477.060606060606,0.03536327272727272,-2.2140416363636364,-0.9998472121212121,0.01617581818181818,-0.00883930303030303,-0.02147430303030303,0.021869151515151515,-0.02329151515151515,-0.16951154545454544,-0.133007,0.087374,0.192573,-0.001239,-0.019558,0.00254,-0.5949336666666667,0.04125230303030299,-9.656368393939395,-0.06232248484848485,-0.02339309090909091,-0.011437666666666665,0.042582,-2.208575,-1.020916,0.023029,6468.727272727273,8.242424242424242,173.87878787878788,-59.90909090909091
0 days 00:00:20.329502,-3.8604626666666664,-1.7120605757575755,-0.3068664545454547,0.01787406060606061,0.007039545454545455,-0.03682175757575757,0.2527220909090909,0.11944424242424241,-0.46173063636363637,0.018134969696969698,-0.022986848484848485,-0.17024666666666666,10.0,-13.0,-118.24242424242425,0.0,0.0,0.0,0.065,0.0,810.8484848484849,0.0,0.0,0.0,0.0,0.0,7656.878787878788,7633.787878787879,7496.878787878788,7510.636363636364,7642.030303030303,7656.272727272727,7464.393939393939,7519.454545454545,0.039537333333333334,-2.2120605757575755,-1.0068664545454546,0.01787406060606061,0.007039545454545455,-0.03682175757575757,0.018134969696969698,-0.022986848484848485,-0.17024666666666666,-0.12925984848484848,0.08476136363636365,0.19293593939393938,-0.0012592121212121213,-0.01953339393939394,0.0024951818181818183,-0.3294271212121212,0.0013020909090908765,-10.082149606060606,-0.04060136363636364,-0.02396278787878788,-0.011792727272727272,0.0472870303030303,-2.206733060606061,-1.026947121212121,0.023236393939393942,6453.606060606061,20.454545454545453,157.0,49.03030303030303
0 days 00:00:20.394502,-3.857787909090909,-1.7106021212121214,-0.3122847272727274,0.02578666666666667,0.013556272727272728,-0.0674800909090909,0.2839780606060606,0.08646418181818186,-0.2986112424242425,0.016969454545454548,-0.023119,-0.17005636363636364,10.0,-13.242424242424242,-118.24242424242425,0.0,0.0,0.0,0.065,0.0,811.0909090909091,0.0,0.0,0.0,0.0,0.0,7620.121212121212,7666.060606060606,7436.818181818182,7504.181818181818,7618.878787878788,7648.939393939394,7449.030303030303,7500.878787878788,0.042212090909090914,-2.2106021212121214,-1.0122847272727273,0.02578666666666667,0.013556272727272728,-0.0674800909090909,0.016969454545454548,-0.023119,-0.17005636363636364,-0.12793524242424242,0.08393242424242425,0.19306321212121214,-0.0012681515151515153,-0.019524060606060604,0.0024754242424242425,-0.28672469696969693,-0.00671757575757572,-9.917406545454545,-0.0063550303030303,0.005060393939393941,0.006754515151515152,0.049155696969696974,-2.205441727272727,-1.0295491515151516,0.022993909090909093,6430.939393939394,10.848484848484848,158.6060606060606,58.0
0 days 00:00:20.459502,-3.852928558823529,-1.7071290294117647,-0.3218950294117646,0.02993755882352941,0.02287294117647059,-0.09376638235294119,-0.02179579411764704,0.09160349999999999,-0.20698023529411763,0.01669744117647059,-0.021460323529411768,-0.16938158823529412,10.0,-14.058823529411764,-119.0,0.0,0.0,0.0,0.065,0.0,802.5294117647059,0.0,0.0,0.0,0.0,0.0,7589.85294117647,7635.176470588235,7433.735294117647,7492.0,7585.529411764706,7622.588235294118,7442.411764705882,7497.676470588235,0.047071441176470594,-2.2071290294117647,-1.0218950294117646,0.02993755882352941,0.02287294117647059,-0.09376638235294119,0.01669744117647059,-0.021460323529411768,-0.16938158823529412,-0.124935,0.082192,0.19335,-0.001291,-0.019502,0.002425,-0.559082,-0.0345243823529412,-9.814654235294118,-0.015732676470588236,0.023487794117647058,0.0072092647058823525,0.053686,-2.201589,-1.036124,0.021987,6406.441176470588,9.176470588235293,133.7058823529412,65.20588235294117
0 days 00:00:20.524502,-3.849603242424242,-1.7035624242424245,-0.3302601212121212,0.016199,0.02751187878787879,-0.09447760606060607,-0.19338190909090916,-0.06553036363636369,0.18193245454545456,0.01602242424242424,-0.020986484848484848,-0.1687952727272727,10.0,-15.0,-119.0,0.0,0.0,0.0,0.065,0.0,811.0,0.0,0.0,0.0,0.0,0.0,7592.30303030303,7627.151515151515,7425.484848484848,7479.545454545455,7604.393939393939,7628.848484848485,7431.666666666667,7468.757575757576,0.050396757575757574,-2.2035624242424245,-1.0302601212121212,0.016199,0.02751187878787879,-0.09447760606060607,0.01602242424242424,-0.020986484848484848,-0.1687952727272727,-0.12351518181818182,0.08149360606060606,0.1934950909090909,-0.0013094242424242424,-0.01948933333333333,0.00238469696969697,-0.6880622424242424,-0.19217566666666666,-9.415660484848484,-0.01655709090909091,-0.041940303030303036,-0.00039948484848484887,0.05637306060606061,-2.1976640606060607,-1.0405930303030304,0.020417484848484848,6401.333333333333,6.363636363636363,166.15151515151516,43.39393939393939
0 days 00:00:20.589502,-3.8475093636363638,-1.6998540303030305,-0.33789048484848494,-0.0033083333333333333,0.036626848484848484,-0.08562342424242424,-0.26536957575757575,0.18348218181818185,0.14169254545454543,0.01502730303030303,-0.021929151515151516,-0.16884266666666667,10.0,-15.0,-118.15151515151516,0.0,0.0,0.0,0.065,0.0,820.3333333333334,0.0,0.0,0.0,0.0,0.0,7591.666666666667,7613.727272727273,7443.454545454545,7471.30303030303,7592.848484848485,7621.212121212121,7438.636363636364,7486.090909090909,0.052490636363636364,-2.1998540303030305,-1.037890484848485,-0.0033083333333333333,0.036626848484848484,-0.08562342424242424,0.01502730303030303,-0.021929151515151516,-0.16884266666666667,-0.12237851515151514,0.08094881818181818,0.19361121212121213,-0.0013253030303030302,-0.01947860606060606,0.0023505757575757575,-0.8039772121212122,0.027728424242424277,-9.463127272727274,-0.028949121212121214,-0.04142254545454546,-0.006821151515151515,0.05860669696969697,-2.1942415757575757,-1.0442589696969697,0.019248515151515152,6403.090909090909,9.545454545454545,144.3939393939394,53.60606060606061
0 days 00:00:20.654502,-3.845358264705882,-1.6934449411764705,-0.3447579999999999,-0.018844911764705884,0.044487970588235295,-0.03425408823529412,0.06941955882352939,0.1157646176470588,1.5024615588235295,0.013929764705882352,-0.025857735294117647,-0.16784020588235293,10.0,-11.911764705882353,-93.70588235294117,0.0,-0.0037385,0.0,0.01978194117647059,0.0,646.2941176470588,-1.2,0.0,0.0,17.224473352941175,7.677556823529411,6993.35294117647,7064.735294117647,6827.14705882353,6918.264705882353,7491.64705882353,7145.617647058823,7311.35294117647,7658.205882352941,0.05464173529411765,-2.1934449411764705,-1.0447579999999999,-0.018844911764705884,0.044487970588235295,-0.03425408823529412,0.013929764705882352,-0.025857735294117647,-0.16784020588235293,-0.12097600000000001,0.080481,0.193754,-0.001361,-0.019457,0.002282,-0.4558823529411765,0.04943123529411764,-8.109260088235294,-0.03392847058823529,-0.06815114705882352,0.019545558823529412,0.062539,-2.18602,-1.05004,0.019055,6588.35294117647,351.38235294117646,-171.05882352941177,103.91176470588235
0 days 00:00:20.719502,-3.8445151515151514,-1.687876272727273,-0.3478539393939395,-0.015068848484848485,0.06145030303030303,-0.12189912121212121,0.45667551515151517,0.3651245151515151,-4.04194796969697,0.025149727272727275,-0.044674424242424245,-0.17026863636363634,10.0,-15.0,-118.0,0.004333212121212121,-0.004989181818181818,0.0,0.0030855454545454545,0.017843636363636364,815.1818181818181,-1.5,0.0,0.0,16.813347454545454,9.123840848484848,9009.242424242424,8332.939393939394,8749.666666666666,9215.60606060606,8483.818181818182,8207.69696969697,8135.757575757576,9146.515151515152,0.055484848484848484,-2.187876272727273,-1.0478539393939394,-0.015068848484848485,0.06145030303030303,-0.12189912121212121,0.025149727272727275,-0.044674424242424245,-0.17026863636363634,-0.12091327272727273,0.08044499999999999,0.19380145454545455,-0.0013833636363636366,-0.019443363636363634,0.0022372727272727275,-0.5925071515151515,0.09028766666666664,-13.667140151515152,0.7529148484848485,-0.7697975757575758,-0.10293854545454545,0.0641720909090909,-2.1809101818181817,-1.0505374545454547,0.026163363636363634,8302.242424242424,668.6969696969697,-321.2121212121212,895.7878787878788
